Theodor-Heuss-Straße | from 21509749 → 265590631
Kehrhüttenstraße | from 705037168 → 288468957
Kehrhüttenstraße | from 705037168 → 705037159
Kehrhüttenstraße | from 460363112 → 288468957
Rilkestraße | from 423803137 → 423803140
Michael-Vehe-Straße | from 423803137 → 423802954
Michael-Vehe-Straße | from 423803137 → 288469483
Heisenbergstraße | from 423804065 → 289195345
Am Ratsplatz | from 423804065 → 423806714
Mittnachtstraße | from 423804065 → 289195547
Mergenthalerstraße | from 289195472 → 423804067
Mergenthalerstraße | from 289195472 → 289195345
Altnachtstraße | from 289195472 → 289195547
Altnachtstraße | from 289195547 → 289195472
Mittnachtstraße | from 289195547 → 423804065
Mittnachtstraße | from 289195547 → 289195673
Lilienthalstraße | from 289195673 → 1141013832
Lilienthalstraße | from 289195673 → 423804067
Mittnachtstraße | from 289195673 → 289195547
Uhlandstraße | from 289877317 → 1236486137
Franz-Lehár-Straße | from 290230303 → 290230320
Franz-Lehár-Straße | from 290230303 → 290230299
Johann-Strauß-Straße | from 290230303 → 290230305
Franz-Lehár-Straße | from 290230302 → 290230320
Franz-Lehár-Straße | from 290230320 → 290230302
Franz-Lehár-Straße | from 290230320 → 290230303
Verdistraße | from 290230320 → 290230339
Johann-Strauß-Straße | from 290230305 → 290230303
Johann-Strauß-Straße | from 290230305 → 291408256
Johann-Strauß-Straße | from 290230305 → 291408256
Joseph-Lanner-Straße | from 291408256 → 291408255
Johann-Strauß-Straße | from 291408256 → 290230305
Johann-Strauß-Straße | from 291408256 → 290230305
Verdistraße | from 290230339 → 290230325
Verdistraße | from 290230339 → 290230320
Brahmsstraße | from 290230339 → 291408218
Brahmsstraße | from 290230339 → 290230338
Max-Reger-Straße | from 290230325 → 697070144
Verdistraße | from 290230325 → 290230326
Verdistraße | from 290230325 → 290230339
Max-Reger-Straße | from 290230325 → 1417333364
Max-Reger-Straße | from 697070144 → 290230325
Verdistraße | from 290230326 → 290230325
Schumannstraße | from 290230326 → 697070134
Verdistraße | from 290230326 → 291408216
Max-Reger-Straße | from 1417333364 → 290230325
Schumannstraße | from 697070134 → 290230333
Schumannstraße | from 697070134 → 290230326
Schumannstraße | from 697070134 → 697070131
Verdistraße | from 291408216 → 290230326
Schumannstraße | from 290230331 → 290230332
Schumannstraße | from 290230331 → 290230333
Iltisweg | from 290230331 → 1417333052
Schumannstraße | from 290230332 → 290230331
Brahmsstraße | from 290230332 → 290230342
Brahmsstraße | from 290230332 → 290230341
Schumannstraße | from 290230333 → 290230331
Schumannstraße | from 290230333 → 697070134
Marderweg | from 290230333 → 290230337
Iltisweg | from 1417333052 → 290230331
Brahmsstraße | from 290230342 → 290270807
Brahmsstraße | from 290230342 → 290230332
Wieselweg | from 290230342 → 1419581528
Brahmsstraße | from 290230341 → 290230332
Brahmsstraße | from 290230341 → 291408218
Orffstraße | from 290230341 → 291408250
Marderweg | from 290230337 → 290230333
Brahmsstraße | from 290230338 → 290230339
Brahmsstraße | from 291408218 → 290230341
Brahmsstraße | from 291408218 → 290230339
Joseph-Lanner-Straße | from 291408218 → 291408255
Orffstraße | from 291408250 → 290230341
Wieselweg | from 1419581528 → 290230342
Fuchsweg | from 1415851030 → 290270807
Panoramastraße | from 291408267 → 291408266
Habichtstraße | from 291408267 → 291408293
Panoramastraße | from 291408267 → 291408206
Nachtigallenweg | from 291408296 → 291408293
Hahnenäckerstraße | from 291408296 → 291408287
['Hahnenäckerstraße', 'Am Förstle'] | from 291408296 → 291408206
Joseph-Lanner-Straße | from 291408255 → 291408256
Joseph-Lanner-Straße | from 291408255 → 291408218
Joseph-Lanner-Straße | from 291408255 → 705039020
Joseph-Lanner-Straße | from 705039020 → 291408255
Bussardstraße | from 291408303 → 291408283
Bussardstraße | from 291408303 → 291408266
Meisenweg | from 291408303 → 291408307
Habichtstraße | from 291408293 → 291408307
Habichtstraße | from 291408293 → 291408267
Nachtigallenweg | from 291408293 → 291408296
Zeisigstraße | from 291408281 → 291408283
Zeisigstraße | from 291408281 → 291408270
Staffelstraße | from 291408281 → 291408312
Elsternweg | from 291408271 → 291408314
Bibersteige | from 291408271 → 291408278
Bibersteige | from 291408271 → 291408270
Elsternweg | from 291408314 → 291408271
Habichtstraße | from 291408288 → 291408284
Habichtstraße | from 291408288 → 291408278
Drosselweg | from 291408288 → 291408292
Bussardstraße | from 291408283 → 291408303
Zeisigstraße | from 291408283 → 291408284
Zeisigstraße | from 291408283 → 291408281
Bussardstraße | from 291408283 → 1216396357
Staffelstraße | from 291408312 → 291408281
Habichtstraße | from 291408284 → 291408288
Habichtstraße | from 291408284 → 1045135835
Zeisigstraße | from 291408284 → 291408283
Bussardstraße | from 1216396357 → 291408283
Habichtstraße | from 1045135835 → 291408284
Habichtstraße | from 1045135835 → 291408307
Amselweg | from 1045135835 → 291408287
Hahnenäckerstraße | from 291408287 → 291408292
Amselweg | from 291408287 → 1045135835
Hahnenäckerstraße | from 291408287 → 291408296
Habichtstraße | from 291408307 → 1045135835
Habichtstraße | from 291408307 → 291408293
Meisenweg | from 291408307 → 291408303
Horkheimer Straße | from 12551483808 → 12551483809
Horkheimer Straße | from 12551483808 → 291425970
Unnamed | from 12551483808 → 1560881633
Am Wasserturm | from 291446376 → 291446371
Karl-Betz-Straße | from 308019367 → 308019348
Jägerhausstraße | from 309941167 → 1027985786
Schloßstraße | from 310114228 → 367972677
Schultheiß-Hammer-Straße | from 310114228 → 367972623
Schloßstraße | from 310114228 → 423006888
Schultheiß-Hammer-Straße | from 367972623 → 310114228
Schultheiß-Hammer-Straße | from 367972623 → 354675974
Kapellenweg | from 367972623 → 1100141287
Wittumweg | from 423006888 → 423006883
Schloßstraße | from 423006888 → 1568040100
Schloßstraße | from 423006888 → 310114228
Dr.-Hoffmann-Straße | from 310114243 → 310114248
Falltorstraße | from 310114243 → 367984358
Falltorstraße | from 310114243 → 421781704
Dr.-Hoffmann-Straße | from 310114248 → 310114243
Gustav-Lohmiller-Straße | from 310114248 → 368003051
Dr.-Hoffmann-Straße | from 310114248 → 421781669
Falltorstraße | from 367984358 → 310114243
['Eichhäuser Straße', 'Falltorstraße'] | from 367984358 → 367986236
Sepp-Herberger-Straße | from 367984358 → 367986236
Falltorstraße | from 421781704 → 310114243
Deutschritterstraße | from 421781704 → 367978287
Deutschritterstraße | from 421781704 → 1097104802
Gustav-Lohmiller-Straße | from 368003051 → 368003042
Dr.-Hoffmann-Straße | from 368003051 → 421781669
Gustav-Lohmiller-Straße | from 368003051 → 310114248
Dr.-Hoffmann-Straße | from 421781669 → 368003051
Dr.-Hoffmann-Straße | from 421781669 → 310114248
['Eichhäuser Straße', 'Falltorstraße'] | from 367986236 → 367984358
Sepp-Herberger-Straße | from 367986236 → 367984358
Eichhäuser Straße | from 367986236 → 310114255
Gustav-Lohmiller-Straße | from 368003042 → 368003051
Dr.-Hoffmann-Straße | from 368003042 → 421781678
Gustav-Lohmiller-Straße | from 368003042 → 310114255
Anton-Bühler-Straße | from 421781710 → 310114264
Anton-Bühler-Straße | from 421781710 → 421781711
Schulbrunnenstraße | from 421781710 → 421781717
Bensheimer Straße | from 310114313 → 423004503
Am Teuerbrünnle | from 310114313 → 3182376494
Wormser Straße | from 310114313 → 423007099
Wormser Straße | from 310114313 → 423003591
Bensheimer Straße | from 423004503 → 423007064
Bensheimer Straße | from 423004503 → 310114313
Aachener Straße | from 423004503 → 423004500
Massenbacher Weg | from 3182376494 → 3182376493
Am Teuerbrünnle | from 3182376494 → 310114313
Am Teuerbrünnle | from 3182376494 → 423006797
Wormser Straße | from 423007099 → 423003603
Straßburger Straße | from 423007099 → 423007612
Wormser Straße | from 423007099 → 310114313
Pforzheimer Straße | from 423003591 → 423003590
Wormser Straße | from 423003591 → 423003590
Wormser Straße | from 423003591 → 310114313
Austraße | from 933949326 → 313574360
Austraße | from 1550333631 → 3296962490
Austraße | from 1550333631 → 313574360
Hausäckerweg | from 314956201 → 1556688035
Hausäckerweg | from 1556688035 → 314956201
Leintalstraße | from 1556688035 → 1556688038
Kauffmannstraße | from 343206190 → 316571443
Sülmermühlstraße | from 318718134 → 491491180
Badener Straße | from 319815086 → 319815083
Badener Straße | from 319829200 → 319829201
Badener Straße | from 319829200 → 1069457327
Badener Straße | from 319829200 → 319829208
Badener Straße | from 319829200 → 319815083
Badener Straße | from 319829201 → 319829200
Badener Straße | from 1069457327 → 319829200
Badener Straße | from 319829208 → 319829209
Badener Straße | from 319829208 → 321693672
Badener Straße | from 319829208 → 319829200
Badener Straße | from 319829209 → 319829208
Jörgstraße | from 1431733009 → 321573458
['Jörgstraße', 'Grimmstraße'] | from 1431733009 → 321717600
Viktor-Scheffel-Straße | from 1431733009 → 1431732961
Raabeweg | from 528607977 → 321573458
Käferflugstraße | from 321573619 → 1431732995
Käferflugstraße | from 321573619 → 1431732961
Raabeweg | from 321573619 → 321573458
Käferflugstraße | from 1431732995 → 321573619
Stielerstraße | from 1431732995 → 1431732951
Käferflugstraße | from 1431732995 → 1431733001
Käferflugstraße | from 1431732961 → 321573619
Gottfried-Keller-Straße | from 1431732961 → 1431732911
Viktor-Scheffel-Straße | from 1431732961 → 1431733009
Käferflugstraße | from 1431732961 → 1431719930
Badener Straße | from 491493940 → 321693672
Badener Straße | from 1028050969 → 321693703
['Jörgstraße', 'Grimmstraße'] | from 321717600 → 1431733009
Röntgenstraße | from 331850112 → 331850113
Schoettlestraße | from 334480255 → 1332568085
Schoettlestraße | from 334480255 → 1304947201
Schoettlestraße | from 334480255 → 1561711680
Schoettlestraße | from 1332568085 → 334480255
Rosenbergstraße | from 335768109 → 395825873
Rosenbergstraße | from 335768109 → 1561711680
Südstraße | from 335768109 → 24957389
Rosenbergstraße | from 395825873 → 335768109
['Südstraße', 'Weststraße'] | from 395825873 → 973953852
Rosenbergstraße | from 395825873 → 350052783
Georg-Vogel-Straße | from 559421384 → 712768139
Neckartalstraße | from 559421384 → 26787243
Klingenberger Straße | from 1558545837 → 1558545850
Stedinger Straße | from 1558545837 → 339020753
Unnamed | from 340481361 → 2286740392
Charlottenstraße | from 340481361 → 1561711296
Charlottenstraße | from 340481361 → 409200408
Max-Planck-Straße | from 2286740392 → 1561711327
Max-Planck-Straße | from 2286740392 → 1561711296
Staufenbergstraße | from 409200408 → 409200412
Charlottenstraße | from 409200408 → 409200413
Charlottenstraße | from 409200408 → 340481361
Brackenheimer Straße | from 1255974649 → 21725812
John-F.-Kennedy-Straße | from 1255490841 → 343206186
Salzstraße | from 518338404 → 344099876
Hans-Seyfer-Straße | from 518338404 → 2903635970
Rosenau | from 350052933 → 350052783
Schultheiß-Hammer-Straße | from 354675974 → 367972623
Deutschritterstraße | from 354675974 → 1097104802
Deutschritterstraße | from 354675974 → 423009859
Deutschritterstraße | from 1097104802 → 421781704
Deutschritterstraße | from 1097104802 → 354675974
Annalindestraße | from 1097104802 → 354675982
Karl-Wüst-Straße | from 356916622 → 770692797
Unnamed | from 770692797 → 770692782
Karl-Wüst-Straße | from 770692797 → 21730193
Rötelstraße | from 356916660 → 356916661
Rötelstraße | from 356916660 → 1607806315
Schönbeinstraße | from 356916661 → 1550485960
Rötelstraße | from 1607806315 → 1607806314
Rötelstraße | from 1607806315 → 1607806336
Rötelstraße | from 1607806315 → 356916660
Schönbeinstraße | from 1550485960 → 356916661
Schönbeinstraße | from 1550485960 → 1550485960
Binswanger Straße | from 529834550 → 361190190
Binswanger Straße | from 529834550 → 529834555
Kirschengartenstraße | from 529834550 → 6259633191
Binswanger Straße | from 364749581 → 361190197
Kreuzenstraße | from 361202070 → 361202065
Kreuzenstraße | from 361202116 → 361202097
Raffeltersteige | from 366936106 → 366936348
Raffeltersteige | from 366936348 → 427963447
Raffeltersteige | from 366936348 → 366936106
Raffeltersteige | from 366936348 → 366936559
Raffeltersteige | from 366936559 → 366936348
Solothurner Straße | from 367697523 → 1559033335
Solothurner Straße | from 367697523 → 1236486142
Werderstraße | from 1236486142 → 1240185576
Solothurner Straße | from 1236486142 → 367697523
Werderstraße | from 1236486142 → 1236486137
Alter Mühlweg | from 1568177541 → 367972677
Paul-Gerhardt-Straße | from 367979741 → 422994030
['Paul-Gerhardt-Straße', 'Attichäckerstraße'] | from 367979741 → 421781703
Albert-Schweitzer-Straße | from 367979741 → 367979754
Albert-Schweitzer-Straße | from 367979754 → 367979741
Dr.-Hoffmann-Straße | from 368003040 → 421781678
Dr.-Hoffmann-Straße | from 368003040 → 421781705
Dr.-Hoffmann-Straße | from 421781678 → 368003042
Dr.-Hoffmann-Straße | from 421781678 → 421781669
Kirchsteige | from 388990993 → 1558545828
Südstraße | from 394867308 → 395826055
Südstraße | from 395825897 → 395825873
Bergstraße | from 395825897 → 25185853
Südstraße | from 395826004 → 395826024
Uhlandstraße | from 1559033334 → 395826024
Uhlandstraße | from 1559033334 → 1236486137
Südstraße | from 1559033334 → 25232263
Staufenbergstraße | from 409200412 → 429971811
Staufenbergstraße | from 429971811 → 428069331
Staufenbergstraße | from 429971811 → 25554133
Paul-Weitbrecht-Straße | from 418898067 → 583006379
Frida-Schuhmacher-Straße | from 418898067 → 418898274
Frida-Schuhmacher-Straße | from 418898067 → 540313456
Paul-Weitbrecht-Straße | from 583006379 → 418898067
Paul-Weitbrecht-Straße | from 583006379 → 583006399
Paul-Weitbrecht-Straße | from 583006379 → 583006399
Wilhelm-Schäffer-Straße | from 418898274 → 418898081
Paul-Weitbrecht-Straße | from 418898274 → 418898317
Frida-Schuhmacher-Straße | from 418898274 → 583006322
Frida-Schuhmacher-Straße | from 418898274 → 418898067
Wilhelm-Schäffer-Straße | from 540570561 → 418898079
Wilhelm-Schäffer-Straße | from 540570561 → 418898081
Wilhelm-Schäffer-Straße | from 540570561 → 583006322
Wilhelm-Schäffer-Straße | from 418898234 → 418898079
Paul-Weitbrecht-Straße | from 418898234 → 1524393200
Frida-Schuhmacher-Straße | from 418898234 → 428232644
Frida-Schuhmacher-Straße | from 418898234 → 583006322
Wilhelm-Schäffer-Straße | from 418898081 → 583006359
Wilhelm-Schäffer-Straße | from 418898081 → 418898289
Wilhelm-Schäffer-Straße | from 418898081 → 540570561
Wilhelm-Schäffer-Straße | from 418898081 → 418898274
Wilhelm-Schäffer-Straße | from 583006359 → 418898081
Bodelschwinghstraße | from 583006359 → 583006341
Bodelschwinghstraße | from 583006359 → 583006341
Feurerstraße | from 418898130 → 418898113
Frida-Schuhmacher-Straße | from 1524393200 → 583238575
Paul-Weitbrecht-Straße | from 1524393200 → 418898234
Paul-Weitbrecht-Straße | from 1524393200 → 1016247251
Wilhelm-Schäffer-Straße | from 583006322 → 540570561
Frida-Schuhmacher-Straße | from 583006322 → 418898234
Frida-Schuhmacher-Straße | from 583006322 → 418898274
Paul-Weitbrecht-Straße | from 418898317 → 418898322
Paul-Weitbrecht-Straße | from 418898317 → 418898322
Paul-Weitbrecht-Straße | from 418898317 → 418898274
Paul-Weitbrecht-Straße | from 418898317 → 583006399
Wilhelm-Schäffer-Straße | from 418898287 → 418898290
Wilhelm-Schäffer-Straße | from 418898287 → 540313456
Wilhelm-Schäffer-Straße | from 418898287 → 418898289
Wilhelm-Schäffer-Straße | from 418898290 → 418898287
Paul-Weitbrecht-Straße | from 418898322 → 1016247251
Paul-Weitbrecht-Straße | from 418898322 → 418898317
Paul-Weitbrecht-Straße | from 418898322 → 418898317
Paul-Weitbrecht-Straße | from 583006399 → 583006379
Paul-Weitbrecht-Straße | from 583006399 → 583006379
Paul-Weitbrecht-Straße | from 583006399 → 418898317
Paul-Weitbrecht-Straße | from 1016247251 → 1524393200
Paul-Weitbrecht-Straße | from 1016247251 → 418898333
Paul-Weitbrecht-Straße | from 1016247251 → 418898322
Paul-Weitbrecht-Straße | from 418898333 → 1016247251
Elbinger Straße | from 418938585 → 418938531
Robert-Koch-Straße | from 1132413083 → 421765380
Kehrhüttenstraße | from 421775043 → 421775060
Kehrhüttenstraße | from 421775043 → 705037168
Adolf-Grimme-Straße | from 421775043 → 421775102
Kehrhüttenstraße | from 421775060 → 421775064
Kehrhüttenstraße | from 421775060 → 421775043
Otto-Wels-Straße | from 421775060 → 421775069
Adolf-Grimme-Straße | from 421775102 → 421775043
Elise-Heß-Straße | from 705037157 → 421775049
Kehrhüttenstraße | from 421775064 → 421775069
['Kehrhüttenstraße', 'Matthias-Erzberger-Straße'] | from 421775064 → 421775069
Kehrhüttenstraße | from 421775064 → 421775060
Kehrhüttenstraße | from 421775069 → 421775064
['Kehrhüttenstraße', 'Matthias-Erzberger-Straße'] | from 421775069 → 421775064
Otto-Wels-Straße | from 421775069 → 421775060
Im Kleinfeldle | from 421781717 → 421781711
Schulbrunnenstraße | from 421781717 → 421781722
Schulbrunnenstraße | from 421781717 → 421781710
Schulbrunnenstraße | from 421781722 → 421781717
Passauer Straße | from 422986796 → 1556688087
Kirchhausener Straße | from 1556688087 → 1025039190
Kirchhausener Straße | from 1556688087 → 422987677
Passauer Straße | from 1556688087 → 422986796
Augsburger Straße | from 422987674 → 422987677
Kirchhausener Straße | from 422987677 → 1556688087
Kirchhausener Straße | from 422987677 → 1556688073
Augsburger Straße | from 422987677 → 422987674
Kirchhausener Straße | from 1556688073 → 422987677
Regensburger Straße | from 1556688073 → 422988189
Münchener Straße | from 1556688073 → 1556688071
Regensburger Straße | from 422988189 → 1556688073
Bensheimer Straße | from 423003579 → 423007034
Wormser Straße | from 423003579 → 423005332
Wormser Straße | from 423003579 → 423001641
Bensheimer Straße | from 423007034 → 423003579
Bensheimer Straße | from 423007034 → 423004458
Eberbacher Weg | from 423007034 → 423007064
Wertheimer Straße | from 423005332 → 423005393
Wormser Straße | from 423005332 → 423003579
Wormser Straße | from 423005332 → 423003590
Pforzheimer Straße | from 423003590 → 423003591
Wormser Straße | from 423003590 → 423003591
Wormser Straße | from 423003590 → 423005332
Wormser Straße | from 423003603 → 423007099
Asperger Straße | from 423003603 → 1097104798
Wormser Straße | from 423003603 → 423003606
Asperger Straße | from 1097104798 → 423003603
Asperger Straße | from 1097104798 → 423006881
Asperger Straße | from 1097104798 → 893000660
Marburger Straße | from 423003606 → 1568040026
Wormser Straße | from 423003606 → 423006883
Wormser Straße | from 423003606 → 423003603
Marburger Straße | from 1568040026 → 1568040028
Marburger Straße | from 1568040026 → 423003606
Kölner Straße | from 1568040026 → 423007612
Wittumweg | from 423006883 → 423006881
Wormser Straße | from 423006883 → 423003617
Wormser Straße | from 423006883 → 423003606
Wormser Straße | from 423003617 → 1568040008
Wormser Straße | from 423003617 → 423003627
Wormser Straße | from 423003617 → 423006883
Wormser Straße | from 1568040008 → 423003617
Wormser Straße | from 423003627 → 423007921
Wormser Straße | from 423003627 → 423003617
Bensheimer Straße | from 423004458 → 423007034
Bensheimer Straße | from 423004458 → 423007064
Aachener Straße | from 423004458 → 423004500
Bensheimer Straße | from 423007064 → 423004458
Bensheimer Straße | from 423007064 → 423004503
Eberbacher Weg | from 423007064 → 423007034
Aachener Straße | from 423004500 → 423005201
Aachener Straße | from 423004500 → 423004458
Aachener Straße | from 423004500 → 423004503
Aachener Straße | from 423005201 → 423004500
Wertheimer Straße | from 423005393 → 423005332
Am Teuerbrünnle | from 423006569 → 1568177392
Am Teuerbrünnle | from 423006569 → 892972050
Am Teuerbrünnle | from 423006569 → 892972025
Mainzer Straße | from 423006569 → 1100034311
Am Teuerbrünnle | from 1568177392 → 423006569
Am Teuerbrünnle | from 892972050 → 423006797
Am Teuerbrünnle | from 892972050 → 423006569
Am Teuerbrünnle | from 892972050 → 1568177383
Am Teuerbrünnle | from 892972025 → 1568177388
Am Teuerbrünnle | from 892972025 → 423006569
Am Teuerbrünnle | from 892972025 → 423008544
Mainzer Straße | from 1100034311 → 423008206
Mainzer Straße | from 1100034311 → 423008206
Mainzer Straße | from 1100034311 → 423006569
Am Teuerbrünnle | from 423006797 → 3182376494
Am Teuerbrünnle | from 423006797 → 892972050
Wittumweg | from 423006797 → 803014303
Wittumweg | from 803014303 → 1568039988
Wittumweg | from 803014303 → 423006797
Wittumweg | from 803014303 → 893000646
Asperger Straße | from 423006881 → 423003627
Asperger Straße | from 423006881 → 1097104798
Wittumweg | from 423006881 → 893000646
Wittumweg | from 423006881 → 423006883
Wittumweg | from 893000646 → 1097104203
Wittumweg | from 893000646 → 803014303
Wittumweg | from 893000646 → 423006881
Poststraße | from 1568040100 → 496060372
Schloßstraße | from 1568040100 → 9418817112
Schloßstraße | from 1568040100 → 423006888
Straßburger Straße | from 423007612 → 423007613
Straßburger Straße | from 423007612 → 423007099
Kölner Straße | from 423007612 → 1568040026
Straßburger Straße | from 423007613 → 423007612
Mainzer Straße | from 892971974 → 1568177404
Mainzer Straße | from 892971974 → 423008203
Mainzer Straße | from 892971974 → 423007921
Mainzer Straße | from 423008203 → 423008563
Mainzer Straße | from 423008203 → 423008206
Mainzer Straße | from 423008203 → 892971974
Mainzer Straße | from 423008563 → 423008544
Mainzer Straße | from 423008563 → 1568177397
Mainzer Straße | from 423008563 → 423008203
Mainzer Straße | from 423008206 → 1100034311
Mainzer Straße | from 423008206 → 1100034311
Mainzer Straße | from 423008206 → 423008203
Mainzer Straße | from 423008544 → 423008563
Am Teuerbrünnle | from 423008544 → 892972025
Am Teuerbrünnle | from 423008544 → 1097327863
Am Teuerbrünnle | from 1097327863 → 423008544
Am Teuerbrünnle | from 1097327863 → 21511027
Mainzer Straße | from 1568177397 → 423008563
Ödenburger Straße | from 423011214 → 423011104
Römerweg | from 429219147 → 423011607
Einsteinstraße | from 1067949178 → 423024082
Jagststraße | from 423743364 → 423743338
Michael-Vehe-Straße | from 423802954 → 423803137
Thomas-Mann-Straße | from 423802954 → 685532969
Michael-Vehe-Straße | from 423802954 → 1045136301
Franz-Werfel-Straße | from 685532969 → 1045136301
Thomas-Mann-Straße | from 685532969 → 423807165
Thomas-Mann-Straße | from 685532969 → 423802954
Franz-Werfel-Straße | from 1045136301 → 685532969
Franz-Werfel-Straße | from 1045136301 → 685532974
Michael-Vehe-Straße | from 1045136301 → 423803850
Michael-Vehe-Straße | from 1045136301 → 423802954
Ringstraße | from 423802956 → 423803004
Michael-Vehe-Straße | from 423802956 → 423802958
Michael-Vehe-Straße | from 423802956 → 423803850
Ringstraße | from 423803004 → 423803089
Ringstraße | from 423803004 → 423802956
Ringstraße | from 423803004 → 423803018
Gerhart-Hauptmann-Straße | from 423802958 → 423807837
Michael-Vehe-Straße | from 423802958 → 423802961
Michael-Vehe-Straße | from 423802958 → 423802956
Rosenweg | from 423803850 → 423803854
Michael-Vehe-Straße | from 423803850 → 423802956
Michael-Vehe-Straße | from 423803850 → 1045136301
Gerhart-Hauptmann-Straße | from 423807837 → 423802958
Gerhart-Hauptmann-Straße | from 423807837 → 423807165
Eschenbachstraße | from 423807837 → 438051739
Maustalstraße | from 423802961 → 423807919
Michael-Vehe-Straße | from 423802961 → 423807983
Michael-Vehe-Straße | from 423802961 → 423802958
Maustalstraße | from 423807919 → 423802961
Maustalstraße | from 423807919 → 423807897
Narzissenweg | from 423807919 → 423807983
Ringstraße | from 423803089 → 423803014
Ringstraße | from 423803089 → 423803004
Karl-May-Straße | from 423803089 → 1262585532
Ringstraße | from 423803018 → 423803004
Ringstraße | from 423803018 → 423803014
Nelkenweg | from 423803018 → 1045135866
Bert-Brecht-Straße | from 423803014 → 1264146160
Ringstraße | from 423803014 → 423803018
Ringstraße | from 423803014 → 423803089
Bert-Brecht-Straße | from 1264146160 → 423803014
Nelkenweg | from 1045135866 → 423803018
Karl-May-Straße | from 1262585532 → 423803089
Rilkestraße | from 423803140 → 423803137
Rosenweg | from 423803854 → 423803850
Am Ratsplatz | from 423806714 → 423804296
Am Ratsplatz | from 423806714 → 423804065
Am Ratsplatz | from 423806714 → 423807889
Weißbaumstraße | from 423807889 → 423808164
Eschenbachstraße | from 423807889 → 438051739
Am Ratsplatz | from 423807889 → 423806714
Gerhart-Hauptmann-Straße | from 423807165 → 423807837
Thomas-Mann-Straße | from 423807165 → 685532969
Thomas-Mann-Straße | from 423807165 → 423807836
Weißbaumstraße | from 423807836 → 423808201
Von-Klug-Straße | from 423807836 → 423807651
Von-Klug-Straße | from 423807836 → 438051739
Thomas-Mann-Straße | from 423807836 → 423807165
Von-Klug-Straße | from 423807651 → 423807836
Weißbaumstraße | from 423808201 → 423807836
Weißbaumstraße | from 423808201 → 423808164
Stefan-Zweig-Straße | from 423808201 → 423808225
Von-Klug-Straße | from 438051739 → 423807836
Von-Klug-Straße | from 438051739 → 423807897
Eschenbachstraße | from 438051739 → 423807889
Eschenbachstraße | from 438051739 → 423807837
Weißbaumstraße | from 423808164 → 423808201
Weißbaumstraße | from 423808164 → 423807889
Ina-Seidel-Straße | from 423808164 → 423808225
Stefan-Zweig-Straße | from 423808225 → 685532999
Stefan-Zweig-Straße | from 423808225 → 423808201
Ina-Seidel-Straße | from 423808225 → 423808164
Stefan-Zweig-Straße | from 685532999 → 704794929
Stefan-Zweig-Straße | from 685532999 → 423808225
Stefan-Zweig-Straße | from 685532999 → 704794931
Schaeuffelenstraße | from 1558436874 → 975294046
Dammstraße | from 1558436874 → 1558436873
Raffeltersteige | from 1431752281 → 427963447
Erlenbacher Straße | from 1431752281 → 1558436903
Schickhardtstraße | from 1431752281 → 1431752303
Kittlerstraße | from 427963950 → 1026132161
Kreuzenstraße | from 427963950 → 21730297
Neckarsulmer Straße | from 1026132161 → 21509893
Drosteweg | from 427964650 → 427964646
Im Stahlbühl | from 427974447 → 1558997389
Mainhardter Straße | from 427974447 → 1142543005
Im Stahlbühl | from 427974447 → 427974512
Traubenstraße | from 1142543005 → 1221436731
Traubenstraße | from 1142543005 → 1558997414
Mainhardter Straße | from 1142543005 → 427974447
Max-von-Laue-Straße | from 1369147044 → 1364677682
Robert-Bosch-Straße | from 1369147044 → 428069331
Robert-Bosch-Straße | from 1369147044 → 1369147094
Ohmstraße | from 428122803 → 1030230366
Industrieplatz | from 428174350 → 496286952
Industrieplatz | from 496286952 → 496286949
Austraße | from 496286952 → 2619432188
Weipertstraße | from 428174355 → 535269794
Fügerstraße | from 428174355 → 2435880403
Weipertstraße | from 535269794 → 1556734000
Fügerstraße | from 2435880403 → 761529489
Fügerstraße | from 2435880403 → 1556734039
Etzelstraße | from 5210206947 → 428174359
Gottlieb-Daimler-Straße | from 5210206947 → 5210206956
Industrieplatz | from 428174362 → 98081637
Weipertstraße | from 428174362 → 1051144421
Weipertstraße | from 428174362 → 428174359
Weipertstraße | from 5012388627 → 428174359
Weipertstraße | from 5012388627 → 428174355
Industrieplatz | from 1051144421 → 496286955
Weipertstraße | from 1051144421 → 428174362
Industrieplatz | from 428174372 → 1051144421
Frida-Schuhmacher-Straße | from 583238574 → 583238575
Frida-Schuhmacher-Straße | from 583238574 → 428232644
Frida-Schuhmacher-Straße | from 583238574 → 583238576
Otto-Hahn-Straße | from 429452005 → 704794943
Kollwitzstraße | from 430124226 → 430124224
Römerstraße | from 1728178741 → 21778666
Saarlandstraße | from 1728178741 → 1728178673
Länderlesstraße | from 5073094927 → 431014492
Bernhäusle | from 5073094927 → 5073094931
Länderlesstraße | from 5073094927 → 5073094931
Bernhäusle | from 5073094318 → 431014492
['Keltenstraße', 'Mühläcker'] | from 432369138 → 1136215200
Hermann-Wolf-Straße | from 432387964 → 432387967
Karl-Wüst-Straße | from 432825378 → 356916622
Unnamed | from 432825378 → 626332526
Unnamed | from 626332526 → 1554352314
Karl-Wüst-Straße | from 626332526 → 356916622
Unnamed | from 540170250 → 540170247
Neckarsulmer Straße | from 540170250 → 540170244
Unnamed | from 432825501 → 540172371
Karl-Wüst-Straße | from 540172371 → 626332526
Gotenstraße | from 435173548 → 435173547
Palmstraße | from 435601408 → 435601406
Weinsberger Straße | from 435615621 → 535221595
Mannheimer Straße | from 535221595 → 21754778
