Theodor-Heuss-Straße | from 21509749 → 265590631
Stuttgarter Straße | from 21754744 → 428968458
Silcherplatz | from 21754744 → 189331900
Stuttgarter Straße | from 428968458 → 410375954
Silcherplatz | from 428968458 → 189331900
Silcherplatz | from 189331900 → 394866898
Unnamed | from 21754778 → 535221608
Mannheimer Straße | from 21754778 → 2923278980
Paulinenstraße | from 535221608 → 1558436873
Schaeuffelenstraße | from 2923278980 → 2909890654
Mannheimer Straße | from 2923278980 → 21754786
Schaeuffelenstraße | from 21754786 → 1425338507
Mannheimer Straße | from 21754786 → 21754789
Mannheimer Straße | from 1425338507 → 2909890654
Gerberstraße | from 1425338507 → 619199095
Mannheimer Straße | from 21754789 → 1556733995
Weipertstraße | from 1556733995 → 535269769
Europaplatz | from 1556733995 → 1556734000
Ludwigsburger Straße | from 21755131 → 2579866936
Klingenberger Straße | from 21755131 → 21755135
['Theodor-Heuss-Straße', 'Ludwigsburger Straße'] | from 21755131 → 265434773
Ludwigsburger Straße | from 2579866936 → 254991314
Ludwigsburger Straße | from 2579866936 → 21755131
Klingenberger Straße | from 2579866936 → 21755135
Klingenberger Straße | from 21755135 → 305264409
Felsenstraße | from 265434773 → 264285310
Theodor-Heuss-Straße | from 265434773 → 264285315
['Theodor-Heuss-Straße', 'Ludwigsburger Straße'] | from 265434773 → 21755131
Jäkleinstraße | from 305264409 → 25711082
Klingenberger Straße | from 305264409 → 25320536
Kappelstraße | from 21755151 → 94648008
Kappelstraße | from 21755151 → 31223779
Klingenberger Straße | from 21755151 → 21740398
Strombergstraße | from 94648008 → 25320524
Kappelstraße | from 94648008 → 1289271184
Kappelstraße | from 94648008 → 21755151
Strombergstraße | from 94648008 → 1559022274
Hofmannweg | from 31223779 → 1559022297
Kappelstraße | from 31223779 → 21755151
Kappelstraße | from 31223779 → 1559033325
Hünderstraße | from 21756287 → 12822601636
Hünderstraße | from 21756287 → 94870774
Lämlinstraße | from 21756287 → 94870763
Lämlinstraße | from 21756287 → 278554520
Hünderstraße | from 12822601636 → 21756292
Hünderstraße | from 12822601636 → 21756287
Hünderstraße | from 94870774 → 94870769
Hünderstraße | from 94870774 → 21756287
Reinerstraße | from 94870774 → 278554533
Reinerstraße | from 94870774 → 94870757
Lämlinstraße | from 94870763 → 38229354
Lämlinstraße | from 94870763 → 21756287
Hahnstraße | from 94870763 → 94870757
Lämlinstraße | from 278554520 → 278554536
Lämlinstraße | from 278554520 → 278554533
Lämlinstraße | from 278554520 → 21756287
Hünderstraße | from 21756292 → 12822601636
Unnamed | from 21756292 → 12822601639
Hünderstraße | from 12822601639 → 12822601636
Großgartacher Straße | from 12822601639 → 29091714
Unnamed | from 12822601639 → 21756292
Wilhelm-Leuschner-Straße | from 21756359 → 21756363
Hans-Multscher-Straße | from 21756359 → 25104104
Wilhelm-Leuschner-Straße | from 21756359 → 6605948499
Wilhelm-Leuschner-Straße | from 21756363 → 21756371
Wilhelm-Leuschner-Straße | from 21756363 → 21778563
Wilhelm-Leuschner-Straße | from 21756363 → 21756359
Sommerstraße | from 25104104 → 31271857
Hans-Multscher-Straße | from 25104104 → 1932923979
Hans-Multscher-Straße | from 25104104 → 21756359
Großgartacher Straße | from 6605948499 → 6276930999
Wilhelm-Leuschner-Straße | from 6605948499 → 21756359
Großgartacher Straße | from 6605948499 → 25104076
Wilhelm-Leuschner-Straße | from 21756371 → 1551723453
Wilhelm-Leuschner-Straße | from 21756371 → 21756375
Wilhelm-Leuschner-Straße | from 21778563 → 1551723453
Wilhelm-Leuschner-Straße | from 21778563 → 21756363
Neckargartacher Straße | from 21778563 → 29051219
Heidelberger Straße | from 21778563 → 709070255
Wilhelm-Leuschner-Straße | from 1551723453 → 21756371
Wilhelm-Leuschner-Straße | from 1551723453 → 21778563
Karl-Marx-Straße | from 1551723453 → 25293360
Wilhelm-Leuschner-Straße | from 21756375 → 21756376
Großgartacher Straße | from 21756375 → 1072721450
Kastellstraße | from 21756375 → 1551730880
Wilhelm-Leuschner-Straße | from 21756375 → 21756371
Wilhelm-Leuschner-Straße | from 21756376 → 21756377
Großgartacher Straße | from 1072721450 → 21756376
Großgartacher Straße | from 1072721450 → 21756375
Großgartacher Straße | from 1072721450 → 25104062
Landwehrstraße | from 1551730880 → 491505610
Landwehrstraße | from 1551730880 → 25293360
Kastellstraße | from 1551730880 → 1551730885
Kastellstraße | from 1551730880 → 21756375
Neckartalstraße | from 21756377 → 945643035
Wilhelm-Leuschner-Straße | from 21756377 → 21756385
Neckartalstraße | from 945643035 → 26787241
Neckartalstraße | from 21756385 → 26748167
Neckartalstraße | from 26748167 → 21509874
Unnamed | from 26748167 → 477431435
Olgastraße | from 25231962 → 444564873
Olgastraße | from 25231962 → 21756477
Roßkampffstraße | from 25231962 → 25231953
Leonhardstraße | from 21756479 → 569700350
Mühlstraße | from 21756479 → 21777191
Leonhardstraße | from 569700350 → 21756479
